Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
14	fg3_m12_iso1_rotated	0	0.2	0	85.37	0.03	0.05	9.43	0.74	0.31	4.69	14.97	0.3	0.77	1256	15.57	1.9	80.79	-0.05	-1.16	54.5	17.36	-0.31	1.35	0.05	0.31	0.41
15	fg3_m12_iso1_rotated	0	0.2	1	81.85	0.03	0.04	14.52	0.82	0.51	1.95	12.37	0.43	0.48	1715	18.71	-3.31	101.46	-0.01	-1.11	50.68	18.99	-0.17	0.21	0.01	0.17	-0.32
16	fg3_m12_iso1_rotated	0	0.2	2	85.69	0.02	0.04	9.65	0.82	0.5	7.4	10.09	0.3	0.48	1709	18.82	-1.26	100.8	-0.02	-1.1	51.03	19.65	0.0	0.56	0.02	0.0	-2.34
17	fg3_m12_iso1_rotated	0	0.2	3	89.98	0.03	0.06	11.49	0.82	0.53	3.8	21.97	1.09	1.73	1715	18.96	2.57	101.05	-0.07	-1.1	51.83	19.3	-0.31	0.46	0.07	0.31	-3.09
18	fg3_m12_iso1_rotated	0	0.2	4	78.43	0.08	0.06	6.82	0.29	0.01	14.96	24.68	0.3	0.77	764	13.3	-2.3	19.57	-0.04	-0.63	50.86	15.96	-0.13	0.85	0.04	0.13	-0.29
19	fg3_m12_iso1_rotated	0	0.2	5	80.98	0.08	0.07	5.74	0.32	0.03	9.9	14.48	0.3	0.21	764	13.56	-2.91	20.65	0.01	-0.95	51.4	17.06	-0.24	0.75	0.01	0.24	-0.11
20	fg3_m12_iso1_rotated	0	0.2	6	82.16	0.07	0.05	6.25	0.31	0.04	18.61	24.62	0.3	0.88	764	13.61	-4.71	20.96	-0.06	-0.77	51.06	15.54	-0.12	0.8	0.06	0.12	-0.8
21	fg3_m12_iso1_rotated	0	0.29	0	89.87	0.04	0.05	10.54	0.74	0.27	6.34	24.57	0.86	0.21	1256	16.03	4.38	81.49	-0.08	-1.16	54.48	15.67	0.06	1.07	0.08	0.06	0.91
22	fg3_m12_iso1_rotated	0	0.29	1	89.36	0.02	0.04	9.42	0.81	0.51	1.89	10.08	0.43	0.48	1721	18.03	-1.28	102.79	-0.05	-1.09	51.19	18.05	0.25	0.03	0.05	0.25	-1.43
23	fg3_m12_iso1_rotated	0	0.29	2	86.03	0.02	0.04	10.06	0.81	0.52	5.91	13.23	0.0	0.48	1255	17.71	0.35	93.89	-0.04	-0.95	54.86	17.91	-0.25	0.79	0.04	0.25	0.41
24	fg3_m12_iso1_rotated	0	0.29	3	80.99	0.04	0.04	13.77	0.82	0.51	1.57	8.68	0.43	0.48	1728	18.07	2.52	101.08	-0.07	-1.05	50.27	19.58	-0.11	-0.24	0.07	0.11	-0.04
25	fg3_m12_iso1_rotated	0	0.29	4	82.36	0.08	0.06	5.77	0.33	0.02	18.42	27.35	0.3	0.77	764	14.55	-1.85	20.59	-0.02	-0.96	50.49	14.99	0.06	0.54	0.02	0.06	-0.58
26	fg3_m12_iso1_rotated	0	0.39	0	88.94	0.02	0.05	9.22	0.75	0.29	5.95	16.07	0.3	0.48	1256	16.65	-4.21	80.94	-0.0	-1.17	54.42	16.63	-0.22	0.93	0.0	0.22	-0.24
27	fg3_m12_iso1_rotated	0	0.39	1	85.71	0.02	0.04	9.08	0.81	0.51	9.96	15.69	0.3	0.48	1671	18.33	-0.52	103.58	-0.05	-1.11	52.78	18.43	0.03	0.18	0.05	0.03	-0.18
28	fg3_m12_iso1_rotated	0	0.39	2	62.37	0.05	0.04	23.57	0.81	0.52	2.93	17.83	0.3	0.48	1669	18.63	-3.43	103.1	0.01	-1.12	52.8	18.47	-0.04	0.33	0.01	0.04	-0.56
29	fg3_m12_iso1_rotated	0	0.39	3	89.38	0.02	0.04	10.32	0.81	0.51	7.92	8.99	0.0	0.64	1253	17.83	0.76	93.97	-0.02	-0.98	54.2	17.83	-0.28	1.11	0.02	0.28	-0.69
30	fg3_m12_iso1_rotated	0	0.39	4	54.27	0.1	0.07	6.3	0.32	0.08	29.33	32.23	0.0	0.77	764	13.55	0.79	20.0	-0.13	-0.84	47.75	17.03	0.25	1.54	0.13	0.25	0.25
31	fg3_m12_iso1_rotated	0	0.39	5	19.11	0.28	0.1	6.98	0.35	0.06	20.9	27.01	0.3	0.48	764	13.57	-10.63	19.68	0.14	-0.73	48.25	15.02	-0.1	0.89	0.14	0.1	-0.14
32	fg3_m12_iso1_rotated	0	0.39	6	80.42	0.07	0.06	5.92	0.33	0.05	7.89	12.64	0.43	0.64	764	13.46	-4.4	20.54	0.05	-0.9	49.16	15.22	0.01	1.57	0.05	0.01	0.4
33	fg3_m12_iso1_rotated	0	0.49	0	85.33	0.03	0.04	10.73	0.74	0.31	9.01	29.89	0.43	0.48	1256	15.47	2.6	82.52	-0.1	-1.14	55.1	16.4	-0.02	1.02	0.1	0.02	-0.33
34	fg3_m12_iso1_rotated	0	0.49	1	85.71	0.02	0.05	10.23	0.8	0.55	4.91	16.89	0.3	0.48	1252	17.4	4.75	93.93	-0.06	-0.93	55.35	16.76	0.08	-0.12	0.06	0.08	0.23
35	fg3_m12_iso1_rotated	0	0.49	2	88.94	0.02	0.04	10.67	0.81	0.53	8.84	18.69	0.3	0.21	1256	17.23	3.69	94.87	-0.09	-0.94	53.78	18.9	-0.16	-0.25	0.09	0.16	-0.26
36	fg3_m12_iso1_rotated	0	0.49	3	85.36	0.03	0.05	10.82	0.81	0.52	2.24	13.17	0.3	0.48	1256	17.98	1.33	93.23	-0.05	-0.94	55.29	16.68	0.01	0.29	0.05	0.01	1.36
37	fg3_m12_iso1_rotated	0	0.49	4	61.08	0.08	0.08	6.07	0.33	-0.04	22.36	38.42	0.0	0.48	764	14.37	0.78	21.07	-0.06	-0.81	48.75	15.26	-0.14	1.15	0.06	0.14	1.08
38	fg3_m12_iso1_rotated	0	0.49	5	79.87	0.06	0.06	5.56	0.33	-0.02	9.57	19.51	0.43	0.48	764	14.38	-2.24	20.8	0.05	-0.89	49.45	14.96	-0.07	0.94	0.05	0.07	-0.37
39	fg3_m12_iso1_rotated	0	0.49	6	80.55	0.08	0.06	6.57	0.34	0.08	30.58	53.39	0.43	0.88	1256	14.77	-0.36	23.03	-0.16	-0.98	48.86	16.78	-0.04	1.89	0.16	0.04	-1.82
40	fg3_m12_iso1_rotated	0	0.59	0	77.88	0.04	0.05	14.75	0.76	0.26	5.87	21.68	0.43	0.77	1256	16.84	-0.55	83.94	-0.07	-1.21	54.67	15.49	-0.06	0.94	0.07	0.06	-1.52
41	fg3_m12_iso1_rotated	0	0.59	1	87.42	0.03	0.04	11.55	0.81	0.5	6.9	17.22	0.43	0.77	1256	17.99	5.33	94.83	-0.1	-0.97	54.34	18.31	-0.18	0.02	0.1	0.18	-0.28
42	fg3_m12_iso1_rotated	0	0.59	2	88.83	0.02	0.04	7.64	0.82	0.5	2.4	12.21	0.0	0.21	1717	18.51	-0.92	102.68	-0.07	-1.07	52.16	19.66	-0.13	0.53	0.07	0.13	-0.09
43	fg3_m12_iso1_rotated	0	0.59	3	65.66	0.05	0.03	22.53	0.81	0.51	3.24	20.04	0.68	0.88	1256	17.36	-14.62	95.76	0.1	-0.93	53.98	18.52	-0.42	0.71	0.1	0.42	0.56
44	fg3_m12_iso1_rotated	0	0.59	4	83.03	0.08	0.06	6.19	0.32	-0.05	31.12	26.64	0.43	0.77	764	13.82	-3.72	19.83	0.11	-0.77	49.7	14.96	0.19	1.52	0.11	0.19	0.92
45	fg3_m12_iso1_rotated	0	0.59	5	85.0	0.07	0.06	5.32	0.32	0.01	11.84	18.18	0.3	0.48	764	13.43	-2.2	21.28	-0.07	-0.89	49.42	15.15	-0.2	1.32	0.07	0.2	-1.05
46	fg3_m12_iso1_rotated	0	0.59	6	84.17	0.07	0.07	5.47	0.34	-0.05	6.22	8.38	0.43	0.64	764	13.95	-2.44	21.64	0.08	-0.95	49.29	14.66	0.08	1.27	0.08	0.08	-0.07
47	fg3_m12_iso1_rotated	0	0.98	0	89.56	0.02	0.04	9.1	0.74	0.32	5.64	16.29	0.3	0.77	1256	16.01	-3.71	82.47	-0.0	-1.17	56.35	14.1	0.23	1.02	0.0	0.23	-0.71
48	fg3_m12_iso1_rotated	0	0.98	1	84.02	0.04	0.05	13.39	0.81	0.5	4.65	26.97	0.68	1.3	1254	17.96	-24.53	93.2	0.17	-0.91	54.67	16.76	-0.28	0.27	0.17	0.28	0.75
49	fg3_m12_iso1_rotated	0	0.98	2	82.8	0.04	0.03	13.7	0.82	0.53	1.5	9.04	0.0	0.21	1256	17.92	2.33	95.0	-0.07	-0.97	54.76	17.88	-0.48	0.68	0.07	0.48	-1.59
50	fg3_m12_iso1_rotated	0	0.98	3	85.46	0.02	0.04	6.99	0.81	0.51	2.81	14.46	0.43	0.48	1239	17.61	0.7	95.85	-0.02	-0.99	55.47	17.6	-0.19	-0.02	0.02	0.19	-3.16
51	fg3_m12_iso1_rotated	0	0.98	4	76.37	0.07	0.05	5.46	0.32	0.08	15.35	24.87	0.3	0.48	764	13.67	-4.77	19.98	0.01	-0.92	49.12	13.6	-0.41	0.96	0.01	0.41	0.38
52	fg3_m12_iso1_rotated	0	0.98	5	79.22	0.08	0.05	5.33	0.34	0.07	12.44	14.35	0.3	0.48	764	13.37	-1.14	20.84	-0.07	-1.0	49.78	12.85	-0.02	0.67	0.07	0.02	1.16
53	fg3_m12_iso1_rotated	0	0.98	6	88.71	0.06	0.05	5.03	0.34	-0.03	17.09	20.78	0.0	0.77	764	14.31	-3.08	21.8	-0.17	-0.82	49.73	13.62	0.05	1.68	0.17	0.05	0.5
54	fg3_m12_iso1_rotated	0	1.96	0	85.97	0.03	0.04	9.24	0.74	0.32	6.29	25.81	0.3	0.48	1256	16.4	-4.46	80.56	-0.02	-1.16	57.17	12.11	0.3	0.86	0.02	0.3	-0.47
55	fg3_m12_iso1_rotated	0	1.96	1	85.81	0.02	0.03	9.67	0.78	0.52	1.3	7.78	1.25	1.37	1245	17.35	-13.21	92.21	0.05	-0.92	58.44	15.12	0.03	0.39	0.05	0.03	-0.8
56	fg3_m12_iso1_rotated	0	1.96	2	89.59	0.02	0.04	10.39	0.78	0.51	2.54	14.91	0.91	0.64	1228	17.71	-3.4	96.38	-0.06	-1.07	59.76	16.62	0.31	-0.51	0.06	0.31	-1.1
57	fg3_m12_iso1_rotated	0	1.96	3	85.42	0.03	0.04	12.58	0.8	0.51	6.38	24.39	0.68	0.48	1618	18.39	-23.13	102.67	0.21	-1.15	55.44	15.02	0.41	0.26	0.21	0.41	0.69
58	fg3_m12_iso1_rotated	0	1.96	4	72.01	0.08	0.05	6.93	0.3	0.18	16.96	30.38	0.0	0.64	764	12.93	-3.21	19.99	-0.06	-0.91	52.44	12.05	-0.25	1.47	0.06	0.25	1.06
59	fg3_m12_iso1_rotated	0	1.96	5	86.21	0.06	0.04	4.86	0.29	0.16	15.49	22.12	0.3	0.21	764	12.83	-2.46	20.65	-0.02	-1.09	51.81	12.92	-0.48	2.24	0.02	0.48	-1.88
60	fg3_m12_iso1_rotated	0	1.96	6	79.42	0.06	0.04	5.0	0.32	0.18	10.59	20.03	0.0	0.88	764	14.22	-3.0	20.92	-0.03	-1.02	51.54	12.53	-0.75	2.8	0.03	0.75	1.05
0	fg3_m13	1	0.2	0	47.13	0.04	0.08	7.19	0.61	0.12	1.92	7.96	0.61	0.64	764	14.2	3.22	53.74	-0.07	-1.14	57.18	17.73	-0.11	0.86	0.07	0.11	2.29
1	fg3_m13	1	0.2	1	72.1	0.06	0.08	9.0	0.86	0.85	3.96	2.14	0.68	0.77	874	23.29	-84.11	115.83	0.0	-1.43	55.47	17.3	-0.1	1.15	0.0	0.1	-1.25
2	fg3_m13	1	0.2	2	59.88	0.04	0.06	11.17	0.87	0.82	4.27	4.17	0.3	0.21	990	23.72	20.22	115.73	-0.04	-1.36	56.71	18.17	-0.49	0.66	0.04	0.49	-0.73
3	fg3_m13	1	0.2	3	81.71	0.03	0.08	9.6	0.77	0.31	8.07	18.06	0.96	0.77	1256	16.28	69.69	78.86	-0.09	-1.15	56.45	22.46	0.1	0.85	0.09	0.1	0.23
4	fg3_m13	1	0.2	4	55.78	0.02	0.09	8.49	0.79	0.24	2.6	9.63	0.3	0.88	764	14.57	-83.02	63.46	0.05	-1.2	61.3	21.01	0.08	0.32	0.05	0.08	0.1
5	fg3_m13	1	0.2	5	52.31	0.03	0.06	12.14	0.76	0.42	2.61	14.01	0.3	0.21	1256	15.98	19.25	87.22	-0.04	-1.14	55.55	20.69	0.06	0.74	0.04	0.06	-0.46
6	fg3_m13	1	0.2	6	85.79	0.05	0.08	11.26	0.86	0.86	1.52	4.63	0.3	0.48	964	22.76	52.76	119.49	-0.06	-1.41	57.17	16.02	0.16	1.47	0.06	0.16	0.43
7	fg3_m13	1	0.39	0	55.56	0.02	0.07	7.36	0.59	0.25	1.28	4.67	0.0	0.48	764	14.39	-0.14	53.45	0.01	-1.17	59.95	19.99	-0.14	0.68	0.01	0.14	-0.98
8	fg3_m13	1	0.39	1	56.83	0.05	0.08	13.9	0.85	0.84	5.44	6.72	0.61	0.21	944	22.67	-100.79	123.22	-0.03	-1.18	63.64	30.58	5.56	74.78	0.03	5.56	-0.93
9	fg3_m13	1	0.39	2	61.48	0.02	0.06	8.56	0.79	0.71	8.31	9.23	1.52	0.48	1346	18.66	6.1	112.45	-0.53	-1.1	71.1	28.41	1.05	2.49	0.53	1.05	-0.18
10	fg3_m13	1	0.39	3	75.08	0.03	0.1	9.31	0.88	0.36	12.62	32.95	1.36	0.21	1256	17.74	139.88	77.58	-0.02	-1.12	67.59	30.49	0.49	0.44	0.02	0.49	-1.22
11	fg3_m13	1	0.39	4	56.69	0.03	0.09	8.92	0.79	0.19	1.47	4.82	0.43	0.48	764	14.37	-95.71	67.2	0.02	-1.2	66.69	21.78	-0.1	0.4	0.02	0.1	0.47
12	fg3_m13	1	0.39	5	51.48	0.02	0.07	13.04	0.77	0.44	1.26	6.33	0.43	0.21	1256	17.28	-30.74	95.96	-0.05	-1.14	59.3	24.08	-0.27	-0.15	0.05	0.27	0.19
13	fg3_m13	1	0.39	6	84.77	0.04	0.09	9.51	0.86	0.87	5.62	15.87	0.43	0.21	999	24.13	107.87	113.78	0.0	-1.38	60.43	22.66	1.22	4.39	0.0	1.22	1.03
14	fg3_m13	1	0.68	0	68.16	0.05	0.06	8.17	0.25	0.28	7.6	8.01	0.3	0.48	368	8.9	-1.31	41.64	-0.08	-1.04	82.33	23.52	0.52	-0.16	0.08	0.52	1.03
15	fg3_m13	1	0.68	2	61.13	0.04	0.05	10.36	0.67	0.59	21.73	28.29	0.3	0.21	993	15.97	-22.91	103.07	-0.02	-1.34	82.64	22.65	0.45	-0.18	0.02	0.45	1.1
16	fg3_m13	1	0.68	5	59.1	0.02	0.04	11.56	0.57	0.46	11.76	19.63	0.0	0.48	764	12.97	-34.95	86.0	0.11	-1.04	91.52	24.09	0.49	-0.27	0.11	0.49	0.4
17	fg3_m13	1	0.78	1	82.23	0.02	0.03	10.12	0.68	0.7	20.38	28.92	0.0	0.48	786	15.77	-17.66	94.07	0.07	-1.21	80.99	17.54	0.01	0.07	0.07	0.01	-0.86
18	fg3_m13	1	0.78	2	55.43	0.03	0.04	11.8	0.71	0.6	18.46	24.45	0.43	0.88	1073	17.89	-19.48	99.22	0.05	-1.17	82.8	21.0	0.57	0.28	0.05	0.57	-0.09
19	fg3_m13	1	0.78	3	72.15	0.04	0.06	13.01	0.5	0.34	2.02	2.2	0.68	0.88	368	9.58	27.13	76.97	-0.05	-1.05	101.22	25.97	0.75	0.15	0.05	0.75	0.03
20	fg3_m13	1	0.78	4	65.25	0.04	0.06	8.6	0.44	0.26	3.85	9.54	0.43	0.48	764	12.18	-16.3	52.74	0.11	-1.18	74.5	25.97	0.9	1.32	0.11	0.9	0.18
21	fg3_m13	1	0.78	6	74.8	0.03	0.04	8.8	0.66	0.77	13.63	3.86	0.3	0.48	598	13.97	23.84	85.88	-0.09	-1.06	86.64	17.71	0.03	0.29	0.09	0.03	1.45
22	fg3_m13	1	0.98	1	81.36	0.03	0.04	10.71	0.75	0.71	9.47	16.26	0.43	0.64	1042	19.62	-2.82	107.49	0.05	-1.26	78.81	19.18	0.29	0.39	0.05	0.29	-1.25
23	fg3_m13	1	0.98	2	62.6	0.03	0.05	15.28	0.6	0.64	20.5	29.74	0.0	0.64	683	12.64	-15.6	89.81	0.18	-1.15	87.21	22.93	0.72	0.38	0.18	0.72	-0.98
24	fg3_m13	1	0.98	3	66.51	0.03	0.06	9.55	0.47	0.25	2.59	5.29	0.3	0.48	764	12.41	12.03	77.28	-0.11	-1.19	84.39	29.12	1.31	1.64	0.11	1.31	0.86
25	fg3_m13	1	0.98	5	55.37	0.02	0.05	15.49	0.51	0.67	15.97	27.1	0.3	0.21	740	12.08	-15.81	87.17	0.11	-1.07	88.24	27.23	1.09	1.07	0.11	1.09	0.07
26	fg3_m13	1	0.98	6	75.54	0.04	0.04	9.14	0.71	0.64	16.78	26.53	0.43	0.21	843	17.36	2.94	92.73	-0.06	-1.19	82.9	17.74	0.61	0.1	0.06	0.61	0.35
27	fg3_m13	1	1.17	0	71.23	0.04	0.05	6.53	0.35	0.27	2.15	2.13	0.0	0.21	368	10.64	0.38	50.88	-0.05	-1.19	92.9	23.47	0.42	-0.44	0.05	0.42	1.98
28	fg3_m13	1	1.17	1	83.75	0.02	0.05	10.42	0.67	0.69	11.89	17.8	0.43	0.64	787	14.79	6.62	104.23	0.01	-1.27	83.45	21.01	0.2	0.6	0.01	0.2	-1.04
29	fg3_m13	1	1.17	2	61.08	0.03	0.04	13.03	0.69	0.54	15.59	17.77	0.43	0.48	966	15.69	-4.89	101.36	0.04	-1.15	84.42	21.12	0.65	0.91	0.04	0.65	-1.7
30	fg3_m13	1	1.17	3	67.99	0.04	0.04	10.35	0.59	0.45	2.53	5.34	0.43	0.48	762	14.31	-2.6	80.71	-0.05	-1.25	82.91	26.29	0.94	0.77	0.05	0.94	-0.99
31	fg3_m13	1	1.17	4	70.75	0.04	0.04	8.45	0.34	0.14	5.45	5.17	0.0	0.48	368	10.79	-3.63	47.09	-0.12	-1.19	91.42	22.83	0.41	-0.45	0.12	0.41	-1.57
32	fg3_m13	1	1.17	6	70.07	0.03	0.05	10.73	0.74	0.79	3.7	4.8	0.3	0.21	922	19.17	-5.36	112.32	-0.02	-1.4	83.77	18.64	0.41	0.21	0.02	0.41	0.94
33	fg3_m13	1	1.37	0	63.5	0.04	0.06	7.88	0.25	0.16	11.49	6.35	0.0	0.21	368	8.61	-0.29	48.66	-0.05	-1.14	94.6	25.02	0.24	-0.7	0.05	0.24	-0.24
34	fg3_m13	1	1.37	1	86.57	0.03	0.05	10.9	0.69	0.64	22.17	38.1	0.3	0.64	827	16.26	2.25	100.97	0.02	-1.16	83.2	20.48	0.95	1.22	0.02	0.95	-0.98
35	fg3_m13	1	1.37	3	65.38	0.03	0.05	11.73	0.37	0.46	3.1	4.63	0.3	0.48	368	9.29	10.54	75.53	-0.07	-1.14	108.45	28.24	0.61	-0.34	0.07	0.61	-0.64
36	fg3_m13	1	1.37	4	70.52	0.04	0.04	8.1	0.24	0.28	6.69	7.0	0.61	1.16	368	9.29	-4.15	41.69	0.01	-1.19	92.52	26.11	0.51	-0.62	0.01	0.51	-1.91
37	fg3_m13	1	1.37	5	57.83	0.04	0.06	8.84	0.61	0.59	7.92	15.53	0.0	0.21	903	15.45	-26.8	98.89	0.16	-1.36	85.13	28.3	1.4	1.95	0.16	1.4	1.24
38	fg3_m13	1	1.37	6	70.9	0.02	0.03	10.45	0.66	0.67	2.0	2.99	0.3	0.64	773	14.81	7.35	102.64	-0.02	-1.35	87.63	18.84	0.52	0.06	0.02	0.52	-0.25
39	fg3_m13	1	1.47	0	74.2	0.04	0.06	10.17	0.3	0.15	7.3	9.12	0.0	0.48	368	9.78	5.99	53.68	-0.04	-1.27	97.4	28.43	0.52	-0.39	0.04	0.52	-0.85
40	fg3_m13	1	1.47	1	85.53	0.02	0.03	6.81	0.59	0.67	22.67	36.42	0.3	0.48	630	12.29	5.48	89.21	0.1	-1.08	90.71	23.86	0.4	0.19	0.1	0.4	-0.4
41	fg3_m13	1	1.47	3	70.18	0.03	0.06	9.83	0.44	0.4	2.49	4.74	0.3	1.07	738	12.22	-6.48	78.8	-0.04	-1.22	86.77	29.46	1.11	0.6	0.04	1.11	-0.65
42	fg3_m13	1	1.47	4	72.42	0.04	0.06	8.29	0.24	0.16	5.1	5.21	0.0	0.48	368	9.01	4.68	43.98	0.06	-1.15	93.03	23.25	0.29	-0.81	0.06	0.29	0.5
43	fg3_m13	1	1.47	5	52.88	0.04	0.08	15.22	0.53	0.55	11.79	31.94	0.3	0.21	763	11.71	-1.06	79.95	-0.02	-0.93	84.35	26.78	1.04	1.48	0.02	1.04	-0.83
44	fg3_m13	1	1.47	6	67.82	0.04	0.06	12.21	0.72	0.79	25.21	14.02	0.3	0.48	911	18.12	-5.17	106.18	-0.12	-1.39	82.63	20.95	0.82	0.36	0.12	0.82	0.97
45	fg3_m13	1	1.66	1	84.08	0.03	0.06	9.91	0.7	0.68	4.82	14.23	0.3	0.77	901	17.2	-6.91	92.93	0.02	-1.19	80.05	20.62	1.41	2.1	0.02	1.41	1.99
46	fg3_m13	1	1.66	2	50.18	0.03	0.05	8.43	0.57	0.63	12.87	20.48	0.0	0.77	712	12.18	2.22	90.11	-0.14	-1.04	87.91	26.56	0.98	0.53	0.14	0.98	-0.76
47	fg3_m13	1	1.66	3	61.7	0.03	0.04	11.72	0.39	0.32	2.35	3.66	0.0	0.48	368	8.67	4.5	77.45	-0.01	-1.14	107.06	28.3	0.47	-0.27	0.01	0.47	-0.89
48	fg3_m13	1	1.66	4	72.75	0.06	0.06	8.92	0.25	0.4	3.75	3.5	0.0	0.48	368	10.3	-4.0	34.93	0.01	-1.19	88.06	23.68	0.28	-0.89	0.01	0.28	0.42
49	fg3_m13	1	1.66	5	58.34	0.04	0.06	9.99	0.64	0.62	4.33	9.33	0.0	0.48	995	15.25	-0.07	94.64	0.04	-1.21	80.17	24.33	1.44	2.15	0.04	1.44	0.34
50	fg3_m13	1	1.66	6	75.67	0.03	0.05	7.99	0.61	0.71	6.13	5.95	0.43	0.88	615	13.02	-9.05	81.5	0.09	-0.97	84.78	21.91	0.38	-0.28	0.09	0.38	-0.13
51	fg3_m13	1	1.76	0	75.36	0.03	0.04	7.77	0.4	0.28	6.63	12.56	0.0	0.21	764	11.84	-7.49	64.68	0.05	-1.33	80.19	24.64	1.02	0.49	0.05	1.02	-1.1
52	fg3_m13	1	1.76	1	88.68	0.03	0.04	12.88	0.58	0.64	9.73	22.81	0.0	0.64	615	11.77	-1.01	94.59	0.0	-1.09	94.52	23.59	0.45	0.04	0.0	0.45	-0.48
53	fg3_m13	1	1.76	4	76.02	0.04	0.05	6.74	0.33	0.3	8.69	13.09	0.0	0.21	764	12.09	-0.03	45.39	-0.01	-1.26	75.25	21.29	1.09	0.43	0.01	1.09	-0.43
54	fg3_m13	1	1.76	6	65.75	0.03	0.05	9.07	0.7	0.76	2.18	3.4	0.68	0.48	775	16.8	-13.25	100.02	-0.05	-1.32	84.22	20.6	0.82	0.7	0.05	0.82	0.79
55	fg3_m13	1	1.86	0	83.94	0.04	0.05	10.52	0.37	0.51	9.44	19.16	0.3	0.64	368	10.72	-4.79	51.31	-0.06	-1.35	94.35	25.26	0.69	-0.21	0.06	0.69	0.24
56	fg3_m13	1	1.86	1	82.68	0.03	0.05	11.19	0.67	0.7	3.95	8.47	0.3	0.77	859	15.67	0.24	100.16	-0.05	-1.24	83.7	24.27	1.14	1.29	0.05	1.14	0.32
