Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
21	fg3_m10_iso1_rotated	0	0.88	2	89.21	0.02	0.04	6.57	0.78	0.5	2.53	13.76	0.3	0.21	1207	15.82	-5.76	105.3	0.03	-1.09	62.45	22.91	0.65	0.24	0.03	0.65	1.22
22	fg3_m10_iso1_rotated	0	0.88	3	77.88	0.05	0.07	18.82	0.78	0.5	9.15	27.94	0.43	0.77	1192	16.68	-1.24	105.5	0.02	-1.1	63.22	23.56	0.36	0.23	0.02	0.36	1.12
23	fg3_m10_iso1_rotated	0	0.88	4	87.39	0.06	0.05	5.98	0.29	0.03	16.59	26.33	0.43	0.48	764	12.28	-3.35	23.26	-0.02	-1.07	61.0	17.35	-0.35	0.26	0.02	0.35	1.03
24	fg3_m10_iso1_rotated	0	0.88	5	82.4	0.06	0.05	6.36	0.29	0.02	26.17	37.76	0.43	0.88	764	12.25	-3.32	24.59	-0.05	-1.12	60.59	17.67	-0.25	0.84	0.05	0.25	0.57
25	fg3_m10_iso1_rotated	0	0.88	6	86.96	0.08	0.05	6.4	0.31	0.03	28.46	41.37	0.0	0.48	764	12.45	-0.65	25.36	-0.11	-1.12	59.19	17.74	-0.42	0.85	0.11	0.42	1.27
26	fg3_m10_iso1_rotated	0	0.98	0	88.62	0.02	0.04	11.33	0.73	0.26	4.29	12.6	0.43	0.48	764	14.59	-4.52	87.78	-0.0	-1.21	70.1	20.22	0.3	0.52	0.0	0.3	-0.05
27	fg3_m10_iso1_rotated	0	0.98	1	89.18	0.03	0.05	11.29	0.78	0.49	12.09	31.27	0.43	0.48	1205	15.91	1.6	105.65	-0.08	-1.08	63.66	22.14	0.46	0.55	0.08	0.46	-0.33
28	fg3_m10_iso1_rotated	0	0.98	2	86.09	0.02	0.04	10.56	0.79	0.52	2.47	10.29	0.43	0.48	1214	16.69	-6.33	103.42	0.01	-1.04	63.18	23.37	0.32	0.41	0.01	0.32	0.4
29	fg3_m10_iso1_rotated	0	0.98	4	89.42	0.06	0.04	6.13	0.3	-0.05	17.75	19.61	0.0	0.48	764	12.56	-6.15	23.2	-0.04	-1.02	59.77	17.54	-0.23	1.11	0.04	0.23	-0.33
30	fg3_m10_iso1_rotated	0	0.98	5	87.22	0.07	0.05	6.05	0.31	0.09	15.97	22.51	0.3	0.88	764	12.83	-5.46	23.51	-0.06	-1.13	59.68	17.51	-0.12	0.4	0.06	0.12	0.37
31	fg3_m10_iso1_rotated	0	0.98	6	75.01	0.06	0.07	9.05	0.32	0.07	4.05	7.08	0.43	1.16	764	12.44	-8.48	25.51	0.16	-1.08	60.63	17.23	-0.36	0.58	0.16	0.36	0.16
32	fg3_m10_iso1_rotated	0	1.17	0	87.78	0.02	0.04	10.44	0.73	0.36	2.32	9.35	0.3	0.48	764	14.4	-7.69	86.17	0.01	-1.21	67.61	20.67	0.38	0.83	0.01	0.38	0.11
33	fg3_m10_iso1_rotated	0	1.17	1	89.46	0.04	0.06	15.7	0.78	0.52	10.32	15.57	0.61	0.64	1156	16.28	-10.33	104.49	0.04	-1.13	64.28	21.79	0.65	0.32	0.04	0.65	-0.88
34	fg3_m10_iso1_rotated	0	1.17	2	89.21	0.02	0.05	10.82	0.79	0.51	4.32	20.06	0.0	0.21	1195	16.8	0.16	105.33	-0.05	-1.09	63.81	22.82	0.62	0.0	0.05	0.62	-0.69
35	fg3_m10_iso1_rotated	0	1.17	3	87.63	0.02	0.03	7.22	0.78	0.52	10.52	22.97	0.0	0.48	1184	15.99	1.84	105.9	-0.06	-1.09	63.34	22.29	0.62	0.26	0.06	0.62	-0.72
36	fg3_m10_iso1_rotated	0	1.17	4	78.28	0.08	0.06	7.11	0.3	0.09	25.23	28.65	0.0	0.48	764	12.96	-3.6	23.03	-0.09	-1.04	59.35	16.96	-0.29	0.69	0.09	0.29	-0.18
37	fg3_m10_iso1_rotated	0	1.17	5	87.57	0.06	0.04	5.68	0.31	0.05	17.11	25.73	0.0	0.48	764	13.22	-3.44	23.92	0.03	-1.15	59.97	16.61	-0.21	0.48	0.03	0.21	0.68
38	fg3_m10_iso1_rotated	0	1.17	6	83.64	0.06	0.04	5.74	0.32	-0.02	13.12	18.76	0.0	0.77	764	12.94	-2.45	25.4	-0.01	-1.2	59.19	17.51	-0.42	0.65	0.01	0.42	-1.98
39	fg3_m10_iso1_rotated	0	1.47	0	87.53	0.03	0.04	9.82	0.74	0.34	7.59	34.51	0.3	0.77	1256	15.98	-1.47	90.88	-0.02	-1.23	62.07	19.91	0.8	0.76	0.02	0.8	-1.35
40	fg3_m10_iso1_rotated	0	1.47	1	88.14	0.02	0.04	7.74	0.79	0.51	6.3	22.1	0.3	0.21	1219	17.02	-2.33	103.51	-0.04	-1.04	62.62	22.55	0.53	0.08	0.04	0.53	-0.72
41	fg3_m10_iso1_rotated	0	1.47	2	88.92	0.03	0.04	11.1	0.78	0.51	4.01	16.24	0.3	0.48	1187	16.34	-2.4	105.41	-0.01	-1.07	63.62	22.0	0.68	0.14	0.01	0.68	1.52
42	fg3_m10_iso1_rotated	0	1.47	4	84.08	0.08	0.05	6.71	0.3	0.12	16.57	23.08	0.3	0.21	764	13.29	-5.12	21.79	0.1	-0.95	59.88	17.88	-0.37	0.57	0.1	0.37	-0.92
43	fg3_m10_iso1_rotated	0	1.47	5	79.59	0.06	0.04	6.02	0.33	0.08	18.24	30.81	0.0	0.77	764	13.2	-5.07	24.93	0.06	-1.2	59.78	17.82	-0.17	0.43	0.06	0.17	1.48
44	fg3_m10_iso1_rotated	0	1.47	6	86.13	0.07	0.05	6.5	0.32	0.04	19.7	23.36	0.3	1.07	764	13.06	-2.92	25.25	-0.07	-1.14	60.22	17.29	-0.15	0.54	0.07	0.15	-1.28
45	fg3_m10_iso1_rotated	0	1.76	0	88.63	0.03	0.04	10.58	0.7	0.31	6.83	22.51	0.3	0.48	764	14.35	-0.62	87.2	-0.07	-1.23	71.15	20.39	0.42	0.43	0.07	0.42	-0.33
46	fg3_m10_iso1_rotated	0	1.76	1	87.49	0.02	0.05	10.81	0.78	0.48	3.61	15.99	0.43	0.48	1200	17.18	-0.82	103.83	-0.04	-1.09	64.52	21.9	0.71	0.58	0.04	0.71	-0.4
47	fg3_m10_iso1_rotated	0	1.76	2	88.66	0.02	0.04	11.15	0.77	0.52	2.99	11.06	0.3	0.48	1158	15.61	-4.88	106.57	-0.02	-1.16	65.77	21.49	0.7	0.1	0.02	0.7	1.29
48	fg3_m10_iso1_rotated	0	1.76	3	87.84	0.02	0.04	10.62	0.79	0.53	2.89	15.07	0.0	0.48	1145	17.28	0.71	105.83	-0.03	-1.09	65.63	21.33	0.6	0.5	0.03	0.6	-0.63
49	fg3_m10_iso1_rotated	0	1.76	4	78.26	0.07	0.06	5.97	0.28	0.18	15.17	26.34	0.0	0.48	764	14.11	-3.37	22.42	-0.07	-1.19	62.46	16.25	0.12	0.52	0.07	0.12	0.97
50	fg3_m10_iso1_rotated	0	1.76	5	78.77	0.07	0.04	5.73	0.31	0.16	14.71	21.07	0.0	0.64	764	11.78	-5.96	24.5	0.1	-1.16	61.79	16.05	0.18	0.24	0.1	0.18	1.9
51	fg3_m10_iso1_rotated	0	1.76	6	84.6	0.07	0.05	6.33	0.32	0.22	17.87	23.94	0.3	0.77	764	14.24	-2.69	24.56	-0.05	-1.0	62.01	16.08	0.18	0.28	0.05	0.18	-0.13
52	fg3_m10_iso1_rotated	0	1.96	0	89.17	0.02	0.04	10.38	0.71	0.3	3.3	10.03	0.43	0.48	764	14.55	-7.56	86.24	0.01	-1.19	69.84	21.01	0.33	0.35	0.01	0.33	-1.47
53	fg3_m10_iso1_rotated	0	1.96	1	85.01	0.02	0.04	12.4	0.78	0.52	3.87	12.5	0.43	0.64	1176	16.93	-3.97	104.67	-0.05	-1.09	66.48	19.79	0.95	0.78	0.05	0.95	-0.54
54	fg3_m10_iso1_rotated	0	1.96	2	89.08	0.02	0.04	6.87	0.77	0.52	2.47	10.75	0.3	0.48	1153	16.28	-1.25	106.2	-0.06	-1.14	67.07	20.52	0.83	0.57	0.06	0.83	-1.76
55	fg3_m10_iso1_rotated	0	1.96	3	85.31	0.02	0.03	7.2	0.78	0.55	3.11	9.43	0.3	0.21	1166	16.38	-1.52	105.74	0.01	-1.12	65.76	20.69	0.6	0.49	0.01	0.6	-0.14
56	fg3_m10_iso1_rotated	0	1.96	4	69.51	0.08	0.06	7.07	0.28	0.04	11.01	10.66	0.0	0.48	764	12.96	-5.03	22.28	0.02	-1.08	63.67	16.2	0.27	0.12	0.02	0.27	0.87
57	fg3_m10_iso1_rotated	0	1.96	5	85.63	0.06	0.05	6.03	0.3	0.06	24.02	29.44	0.0	0.77	764	13.26	-5.7	23.98	-0.02	-1.14	62.12	16.2	0.39	0.26	0.02	0.39	-1.53
58	fg3_m10_iso1_rotated	0	1.96	6	80.13	0.06	0.05	6.33	0.31	0.04	10.55	19.81	0.3	0.48	764	13.15	-3.48	24.42	-0.02	-1.18	62.64	15.58	0.2	0.48	0.02	0.2	-1.47
0	fg3_m15	1	0.05	0	46.4	0.03	0.06	9.43	0.55	0.13	4.23	13.17	0.3	0.64	764	12.83	0.81	63.86	-0.07	-1.24	74.89	22.38	0.08	0.07	0.07	0.08	0.89
1	fg3_m15	1	0.05	1	66.62	0.07	0.07	11.9	0.83	0.84	5.61	3.38	0.0	0.48	866	22.09	-49.23	118.51	-0.0	-1.49	65.26	17.33	-0.04	0.59	0.0	0.04	-0.53
2	fg3_m15	1	0.05	2	58.98	0.06	0.06	13.5	0.84	0.83	20.81	18.89	0.3	0.21	947	23.08	7.97	118.81	-0.01	-1.47	66.29	20.04	-0.27	0.05	0.01	0.27	-0.44
3	fg3_m15	1	0.05	3	80.82	0.02	0.04	8.37	0.67	0.29	4.92	11.81	0.3	0.48	764	13.74	36.57	84.29	-0.07	-1.18	76.11	22.98	0.32	-0.11	0.07	0.32	0.63
4	fg3_m15	1	0.05	4	56.2	0.03	0.07	9.43	0.65	0.24	2.75	8.68	0.3	0.64	764	13.37	-45.19	75.44	-0.01	-1.27	74.61	22.68	0.27	0.09	0.01	0.27	0.34
5	fg3_m15	1	0.05	5	52.89	0.02	0.05	7.6	0.72	0.42	2.67	13.6	0.43	0.48	1256	15.11	7.79	95.06	-0.01	-1.16	64.5	25.28	0.47	-0.26	0.01	0.47	0.79
6	fg3_m15	1	0.05	6	84.72	0.03	0.06	10.6	0.84	0.83	1.98	5.48	0.3	0.77	930	21.54	26.74	123.24	-0.04	-1.51	62.85	19.19	-0.24	0.58	0.04	0.24	-0.24
7	fg3_m15	1	0.59	0	60.81	0.06	0.06	11.68	0.6	0.36	19.71	49.03	0.43	0.77	1151	17.8	-1.25	63.67	-0.09	-1.31	67.13	22.48	0.44	0.67	0.09	0.44	1.09
8	fg3_m15	1	0.59	1	73.99	0.05	0.06	13.51	0.81	0.86	1.88	1.18	0.43	0.48	850	22.59	-14.53	123.13	0.01	-1.54	85.53	21.06	0.15	-0.15	0.01	0.15	0.26
9	fg3_m15	1	0.59	2	71.68	0.04	0.07	21.85	0.73	0.63	10.31	10.17	0.0	0.77	606	12.8	-35.62	109.22	0.04	-0.92	92.36	20.51	-0.49	2.94	0.04	0.49	-1.0
10	fg3_m15	1	0.59	3	67.8	0.04	0.06	12.66	0.74	0.21	2.74	7.73	0.91	0.48	1419	18.14	50.06	98.21	0.08	-1.12	75.52	24.03	0.67	1.12	0.08	0.67	-0.19
11	fg3_m15	1	0.59	4	62.18	0.04	0.05	10.75	0.63	0.45	2.15	5.73	0.61	0.21	1149	16.05	-6.13	81.27	-0.04	-1.38	68.22	22.52	0.16	0.07	0.04	0.16	0.19
12	fg3_m15	1	0.59	5	44.15	0.07	0.08	20.39	0.67	0.51	3.33	11.01	0.68	0.21	721	13.33	-20.83	110.12	-0.17	-1.08	92.86	23.16	0.25	-0.46	0.17	0.25	0.36
13	fg3_m15	1	0.59	6	83.97	0.05	0.06	18.45	0.79	0.57	4.63	8.27	0.68	0.88	1031	20.86	38.79	110.33	-0.0	-1.0	78.84	20.55	0.5	-0.6	0.0	0.5	0.31
14	fg3_m15	1	0.88	0	62.75	0.03	0.04	8.73	0.55	-0.31	3.71	8.56	0.0	0.64	764	12.68	-2.57	62.96	-0.02	-1.3	72.44	20.39	0.16	0.15	0.02	0.16	0.99
15	fg3_m15	1	0.88	1	77.61	0.03	0.05	11.55	0.78	0.76	6.48	5.29	0.3	0.77	834	18.52	-6.45	119.72	-0.02	-1.46	79.73	18.63	0.08	-0.12	0.02	0.08	1.62
16	fg3_m15	1	0.88	2	61.55	0.05	0.05	14.34	0.74	0.72	22.69	31.99	0.43	0.48	773	15.34	-6.1	113.29	0.01	-1.27	84.35	18.55	0.33	-0.05	0.01	0.33	0.83
17	fg3_m15	1	0.88	3	73.0	0.03	0.04	10.15	0.69	0.26	8.07	17.64	0.43	0.48	1254	15.28	13.11	93.02	-0.05	-1.24	73.52	22.15	0.82	0.65	0.05	0.82	0.69
18	fg3_m15	1	0.88	4	67.38	0.03	0.03	8.69	0.56	0.24	1.78	3.78	0.43	0.64	764	12.41	-13.22	67.71	0.03	-1.34	73.51	20.3	0.24	0.04	0.03	0.24	0.4
19	fg3_m15	1	0.88	5	53.68	0.03	0.05	15.86	0.68	0.59	1.74	5.0	0.3	0.48	758	12.64	-11.5	99.08	0.02	-1.12	82.28	23.76	0.43	0.03	0.02	0.43	-0.91
20	fg3_m15	1	0.88	6	74.83	0.05	0.06	15.04	0.77	0.74	22.15	16.18	0.3	0.48	826	18.16	12.05	118.65	-0.04	-1.41	81.1	16.21	0.51	0.34	0.04	0.51	0.49
21	fg3_m15	1	1.17	0	64.88	0.05	0.06	9.74	0.53	0.12	6.78	14.37	0.3	0.48	764	11.62	-17.98	62.74	0.22	-1.27	71.21	21.54	0.02	-0.2	0.22	0.02	-2.16
22	fg3_m15	1	1.17	1	78.64	0.05	0.06	11.59	0.78	0.78	18.75	2.86	0.0	0.48	824	18.39	-10.53	123.24	0.05	-1.43	82.67	17.85	0.15	-0.33	0.05	0.15	-0.69
23	fg3_m15	1	1.17	2	58.39	0.04	0.05	15.79	0.75	0.64	10.37	15.93	0.43	0.77	857	15.83	-2.77	113.1	-0.01	-1.24	82.98	19.34	0.51	-0.09	0.01	0.51	-0.21
24	fg3_m15	1	1.17	3	72.72	0.03	0.04	10.58	0.69	0.34	0.94	2.09	0.43	0.48	764	14.53	9.39	91.04	-0.02	-1.23	80.08	23.05	0.61	0.18	0.02	0.61	-1.35
25	fg3_m15	1	1.17	4	64.68	0.04	0.05	7.88	0.54	0.17	7.02	14.8	0.0	0.77	764	11.58	-16.14	66.98	0.21	-1.28	71.75	22.13	0.04	0.03	0.21	0.04	0.05
26	fg3_m15	1	1.17	5	54.02	0.03	0.05	16.66	0.7	0.48	1.06	3.23	0.0	0.21	763	12.8	-10.09	99.58	0.03	-1.09	81.23	23.55	0.67	0.31	0.03	0.67	0.42
27	fg3_m15	1	1.17	6	78.15	0.05	0.05	14.15	0.79	0.78	19.2	2.26	0.3	0.48	789	18.41	0.47	121.2	0.06	-1.44	80.45	16.84	0.09	0.18	0.06	0.09	-1.42
28	fg3_m15	1	1.47	0	64.67	0.04	0.04	8.74	0.55	0.18	3.52	8.09	0.0	0.48	764	11.59	-3.86	65.01	-0.02	-1.32	71.46	19.49	0.23	0.02	0.02	0.23	2.82
29	fg3_m15	1	1.47	1	77.26	0.04	0.05	13.56	0.78	0.77	4.0	5.77	0.3	0.77	657	17.95	-0.29	114.32	-0.12	-1.35	84.32	18.13	0.22	-0.25	0.12	0.22	-1.1
30	fg3_m15	1	1.47	2	58.83	0.03	0.04	13.68	0.77	0.7	13.71	14.56	0.3	0.48	785	15.95	-7.03	116.43	0.0	-1.34	80.94	21.5	0.37	0.1	0.0	0.37	2.2
31	fg3_m15	1	1.47	3	70.7	0.03	0.04	11.08	0.67	0.33	9.92	14.5	0.3	0.48	764	12.75	4.01	92.68	-0.06	-1.24	79.04	23.09	0.6	-0.01	0.06	0.6	1.02
32	fg3_m15	1	1.47	4	65.47	0.04	0.05	8.76	0.55	0.18	2.1	4.65	0.3	0.48	764	11.43	-5.7	65.79	-0.07	-1.33	72.21	18.92	0.24	0.04	0.07	0.24	-0.32
33	fg3_m15	1	1.47	5	52.74	0.03	0.04	8.1	0.71	0.56	5.35	15.3	0.43	0.77	758	14.24	-3.44	99.21	0.0	-1.08	81.49	23.8	0.59	0.35	0.0	0.59	1.32
34	fg3_m15	1	1.47	6	78.81	0.03	0.04	11.71	0.79	0.77	6.9	6.58	0.3	0.88	751	18.36	2.57	124.33	0.02	-1.45	79.68	17.62	0.25	-0.3	0.02	0.25	-1.08
35	fg3_m15	1	1.76	0	67.66	0.04	0.05	8.47	0.57	0.27	3.08	6.82	0.0	0.48	764	13.05	-2.81	63.54	-0.06	-1.32	71.19	20.02	0.37	0.3	0.06	0.37	-0.89
36	fg3_m15	1	1.76	1	76.83	0.05	0.05	13.68	0.78	0.77	5.78	7.23	0.3	0.48	834	18.63	-4.59	124.44	-0.03	-1.47	82.73	18.78	0.43	-0.17	0.03	0.43	0.57
37	fg3_m15	1	1.76	2	57.7	0.03	0.05	9.8	0.73	0.71	8.12	13.24	0.3	0.64	629	14.51	11.15	102.84	-0.1	-1.15	85.75	19.86	0.42	-0.27	0.1	0.42	1.01
38	fg3_m15	1	1.76	3	69.48	0.03	0.04	10.54	0.68	0.24	1.53	4.18	0.0	0.48	764	13.09	1.92	90.43	-0.07	-1.21	77.54	23.32	0.5	0.13	0.07	0.5	-1.22
39	fg3_m15	1	1.76	4	64.81	0.03	0.04	8.39	0.54	0.31	2.58	6.15	0.3	0.77	764	12.47	-8.88	63.35	-0.02	-1.35	70.27	20.32	0.23	0.07	0.02	0.23	-1.3
40	fg3_m15	1	1.76	5	54.16	0.02	0.04	15.51	0.71	0.53	0.64	1.87	0.0	0.21	736	13.76	-3.99	101.65	0.02	-1.17	81.71	24.25	0.58	0.03	0.02	0.58	-0.11
41	fg3_m15	1	1.76	6	77.92	0.04	0.05	10.2	0.77	0.76	21.36	5.55	0.3	0.48	624	17.56	0.26	109.91	-0.02	-1.29	83.42	16.72	0.25	-0.04	0.02	0.25	-1.48
42	fg3_m15	1	2.05	0	68.19	0.03	0.05	8.69	0.54	0.18	3.85	7.92	0.3	0.48	764	12.35	0.5	63.07	-0.06	-1.32	72.47	20.28	0.35	0.35	0.06	0.35	-0.3
43	fg3_m15	1	2.05	1	80.98	0.03	0.05	11.31	0.78	0.76	4.53	7.96	0.3	0.77	687	17.88	3.81	112.94	-0.07	-1.36	83.92	17.96	0.52	0.07	0.07	0.52	-1.01
44	fg3_m15	1	2.05	2	56.5	0.03	0.05	10.01	0.72	0.68	7.71	11.76	0.0	0.48	836	14.83	-0.83	113.98	-0.03	-1.34	82.46	21.16	0.7	0.14	0.03	0.7	-0.38
45	fg3_m15	1	2.05	3	68.96	0.03	0.04	10.62	0.65	0.31	3.89	9.07	0.3	0.48	764	11.9	-6.67	92.18	-0.04	-1.26	79.35	22.29	0.63	0.24	0.04	0.63	-0.84
46	fg3_m15	1	2.05	4	66.17	0.04	0.04	8.0	0.53	0.23	1.77	4.28	0.3	0.48	764	12.2	1.25	61.33	-0.06	-1.35	71.67	18.74	0.56	0.04	0.06	0.56	2.36
47	fg3_m15	1	2.05	5	55.43	0.02	0.03	7.11	0.71	0.56	9.44	17.79	0.3	0.77	746	14.51	-1.64	98.01	-0.06	-1.1	82.13	23.16	0.74	-0.01	0.06	0.74	-0.73
48	fg3_m15	1	2.05	6	70.4	0.08	0.08	14.52	0.77	0.77	5.26	2.98	0.3	0.48	606	17.18	0.65	111.09	-0.12	-1.34	83.81	17.02	0.4	-0.45	0.12	0.4	1.33
49	fg3_m15	1	2.35	0	64.77	0.03	0.04	8.18	0.52	0.18	3.96	7.84	0.43	0.48	764	11.38	-3.33	62.49	-0.03	-1.35	72.42	20.07	0.68	0.17	0.03	0.68	0.5
50	fg3_m15	1	2.35	1	82.38	0.03	0.05	10.24	0.79	0.78	6.08	6.19	0.3	0.21	788	18.45	8.08	126.47	-0.08	-1.47	81.93	19.46	0.49	0.08	0.08	0.49	0.3
51	fg3_m15	1	2.35	2	56.91	0.02	0.04	14.04	0.76	0.66	1.26	2.8	0.3	0.48	818	15.9	-1.08	114.91	0.01	-1.33	81.56	20.5	0.58	0.01	0.01	0.58	-2.06
52	fg3_m15	1	2.35	3	68.93	0.03	0.05	10.6	0.66	0.29	2.39	4.73	0.0	0.48	764	12.69	-11.61	91.05	-0.04	-1.22	79.0	22.09	0.84	0.36	0.04	0.84	-0.0
53	fg3_m15	1	2.35	4	65.67	0.03	0.04	8.89	0.5	0.28	3.57	4.76	0.3	0.48	368	11.1	1.78	57.14	-0.02	-1.31	83.91	18.49	0.16	-0.15	0.02	0.16	-0.5
54	fg3_m15	1	2.35	5	54.27	0.02	0.04	8.11	0.73	0.6	14.0	15.46	0.0	0.21	987	15.08	0.66	110.03	-0.03	-1.37	77.13	21.77	1.06	0.94	0.03	1.06	0.01
55	fg3_m15	1	2.35	6	77.13	0.06	0.07	13.2	0.77	0.79	5.06	4.31	0.0	0.48	593	17.27	-13.67	114.18	0.02	-1.37	86.78	16.58	-0.0	-0.16	0.02	0.0	0.29
56	fg3_m15	1	2.64	0	80.41	0.05	0.07	11.78	0.48	0.14	3.66	6.0	0.43	0.48	739	11.51	6.87	71.05	0.24	-1.16	86.18	24.51	0.43	-0.58	0.24	0.43	0.4
57	fg3_m15	1	2.64	1	88.57	0.04	0.06	16.29	0.69	0.57	10.28	15.68	0.3	0.88	637	13.87	-24.1	111.58	0.0	-1.15	100.67	22.19	-0.09	0.2	0.0	0.09	-1.51
58	fg3_m15	1	2.64	2	63.9	0.03	0.07	17.03	0.68	0.51	8.8	8.79	0.43	0.77	862	15.49	5.29	111.69	-0.13	-1.34	97.53	22.26	-0.07	-0.2	0.13	0.07	-1.25
59	fg3_m15	1	2.64	3	55.36	0.05	0.07	22.7	0.65	0.55	7.3	14.46	2.5	0.48	1330	18.74	36.18	112.14	0.03	-1.33	103.48	43.72	0.96	0.59	0.03	0.96	0.86
