Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2
30	fg3_m12	1	2.0	5	34.3	0.1	0.08	24.37	0.41	0.62	43.88	66.12	1.63	0.64
31	fg3_m12	1	2.0	6	31.9	0.19	0.06	21.51	0.54	0.55	34.26	46.65	0.68	0.48
32	fg3_m12	1	2.05	0	0.49	0.1	0.04	25.08	0.43	0.44	32.83	42.04	0.68	1.37
33	fg3_m12	1	2.05	1	40.11	0.08	0.06	22.23	0.17	0.34	50.62	57.9	0.91	1.37
34	fg3_m12	1	2.05	2	2.5	0.17	0.08	33.73	0.35	0.05	52.23	71.64	0.68	0.88
35	fg3_m12	1	2.05	3	21.1	0.2	0.08	40.41	0.39	0.32	19.74	29.7	0.3	0.48
36	fg3_m12	1	2.05	4	43.8	0.16	0.07	17.79	0.24	0.2	42.59	72.33	0.0	0.88
37	fg3_m12	1	2.05	5	2.64	0.19	0.05	41.72	0.42	0.55	34.26	37.41	1.25	1.68
38	fg3_m12	1	2.05	6	1.54	0.13	0.04	39.66	0.4	0.52	59.46	57.64	0.91	1.3
39	fg3_m12	1	2.15	0	9.65	0.05	0.03	22.76	0.37	0.34	25.06	42.41	0.3	0.21
40	fg3_m12	1	2.15	2	10.52	0.08	0.02	14.58	0.25	0.09	30.88	54.15	0.3	0.77
41	fg3_m12	1	2.15	3	15.62	0.08	0.04	11.68	0.19	0.24	18.18	23.5	0.68	0.77
42	fg3_m12	1	2.15	4	6.55	0.1	0.03	6.85	0.16	0.1	33.08	35.57	0.3	0.21
43	fg3_m12	1	2.15	5	1.75	0.04	0.01	17.57	0.34	0.42	41.21	44.24	0.0	0.77
44	fg3_m12	1	2.15	6	3.25	0.09	0.04	15.36	0.28	0.3	26.34	40.95	0.0	0.88
45	fg3_m12	1	2.2	1	4.84	0.09	0.08	18.26	0.16	0.11	34.2	24.75	0.61	0.64
46	fg3_m12	1	2.2	2	5.16	0.09	0.04	12.8	0.25	0.12	21.52	43.25	0.3	0.48
47	fg3_m12	1	2.2	3	13.33	0.06	0.05	9.87	0.15	0.22	14.41	16.93	0.43	0.21
48	fg3_m12	1	2.2	4	13.2	0.07	0.02	4.86	0.16	0.14	9.33	19.53	0.0	0.21
49	fg3_m12	1	2.2	5	2.18	0.08	0.03	14.68	0.35	0.46	29.58	53.25	0.0	0.48
50	fg3_m12	1	2.2	6	4.0	0.09	0.08	15.64	0.3	0.32	35.73	75.07	0.3	0.77
51	fg3_m12	1	2.25	0	5.44	0.11	0.06	19.17	0.36	0.39	53.01	89.13	0.43	0.64
52	fg3_m12	1	2.25	1	0.03	0.14	0.03	10.09	0.15	0.14	31.64	52.42	0.3	0.21
53	fg3_m12	1	2.25	2	9.09	0.1	0.03	17.17	0.24	0.09	13.58	20.74	0.61	0.77
54	fg3_m12	1	2.25	4	11.98	0.08	0.04	6.04	0.15	0.15	29.38	51.78	0.0	0.77
55	fg3_m12	1	2.25	5	5.43	0.06	0.02	16.86	0.34	0.47	40.5	67.94	0.3	0.64
56	fg3_m12	1	2.25	6	0.29	0.12	0.06	24.95	0.33	0.35	36.66	72.29	0.3	1.07
57	fg3_m12	1	2.35	0	6.65	0.09	0.04	14.51	0.29	0.37	43.4	73.17	0.3	0.77
58	fg3_m12	1	2.35	2	18.22	0.04	0.04	15.92	0.18	0.11	11.32	23.43	0.0	0.21
59	fg3_m12	1	2.35	3	4.91	0.06	0.06	11.53	0.13	0.23	16.42	28.27	0.0	0.21
60	fg3_m12	1	2.35	4	2.25	0.05	0.02	7.21	0.18	0.14	30.84	27.44	0.3	0.77
61	fg3_m12	1	2.35	5	5.18	0.06	0.04	21.81	0.37	0.48	37.59	58.98	0.43	0.48
62	fg3_m12	1	2.35	6	2.32	0.07	0.04	14.49	0.25	0.35	38.97	46.28	0.3	0.48
63	fg3_m12	1	2.44	0	5.12	0.08	0.04	17.09	0.32	0.38	41.0	67.2	0.0	0.77
64	fg3_m12	1	2.44	1	78.19	0.71	0.24	144.63	0.54	0.09	39.93	26.92	1.09	0.48
65	fg3_m12	1	2.54	0	3.14	0.06	0.05	14.97	0.28	0.35	28.91	61.28	0.0	0.48
66	fg3_m12	1	2.54	1	4.77	0.07	0.03	10.43	0.11	0.06	14.73	31.37	0.3	0.21
67	fg3_m12	1	2.54	2	8.7	0.05	0.02	12.25	0.31	0.14	11.08	25.35	0.3	0.21
68	fg3_m12	1	2.54	3	7.54	0.08	0.04	11.34	0.35	0.36	34.11	41.85	0.43	0.64
69	fg3_m12	1	2.54	4	0.31	0.06	0.02	5.57	0.21	0.09	24.74	52.7	0.43	0.64
70	fg3_m12	1	2.54	5	0.28	0.04	0.03	7.45	0.37	0.38	14.0	29.53	0.43	0.21
71	fg3_m12	1	2.54	6	4.86	0.04	0.02	7.66	0.34	0.41	46.71	79.91	0.43	0.48
72	fg3_m12	1	2.59	0	2.76	0.07	0.06	20.18	0.22	0.34	35.62	71.44	0.0	0.48
73	fg3_m12	1	2.59	1	9.2	0.04	0.02	5.95	0.14	0.09	10.54	13.74	0.0	0.21
74	fg3_m12	1	2.59	2	2.23	0.04	0.03	11.12	0.33	0.15	9.1	17.32	0.3	0.21
75	fg3_m12	1	2.59	3	3.96	0.08	0.04	11.76	0.35	0.38	38.45	55.27	0.43	0.88
76	fg3_m12	1	2.59	4	17.03	0.03	0.02	5.02	0.23	0.05	3.61	11.18	0.61	0.77
77	fg3_m12	1	2.59	5	4.77	0.05	0.03	14.34	0.3	0.31	25.41	56.21	0.0	0.21
78	fg3_m12	1	2.59	6	3.87	0.03	0.03	14.44	0.36	0.42	14.72	27.05	0.43	0.21
79	fg3_m12	1	2.69	0	0.48	0.05	0.04	13.68	0.22	0.33	19.48	40.3	0.3	0.21
80	fg3_m12	1	2.69	1	8.37	0.05	0.02	6.42	0.13	0.08	4.3	6.51	0.0	0.21
81	fg3_m12	1	2.69	2	0.05	0.04	0.03	6.0	0.3	0.14	4.27	12.27	0.61	0.77
82	fg3_m12	1	2.69	4	7.7	0.05	0.03	5.09	0.23	0.07	7.08	24.56	0.3	0.21
83	fg3_m12	1	2.69	5	0.87	0.06	0.03	13.12	0.25	0.3	29.45	54.83	0.0	0.21
84	fg3_m12	1	2.69	6	5.7	0.04	0.03	6.12	0.38	0.44	17.88	30.17	0.0	0.48
85	fg3_m12	1	2.79	1	6.38	0.05	0.02	8.45	0.15	0.06	15.27	19.82	0.3	0.21
86	fg3_m12	1	2.79	2	6.45	0.05	0.03	10.87	0.31	0.17	13.66	33.13	0.68	0.21
87	fg3_m12	1	2.79	3	0.76	0.04	0.02	11.41	0.38	0.46	14.48	26.0	0.61	0.48
88	fg3_m12	1	2.79	4	12.39	0.05	0.03	7.87	0.21	0.07	5.65	21.49	0.3	0.21
89	fg3_m12	1	2.79	5	3.81	0.06	0.04	17.72	0.21	0.29	27.31	53.47	0.0	0.21
90	fg3_m12	1	2.79	6	5.4	0.03	0.03	10.51	0.37	0.44	15.68	24.23	0.43	0.48
91	fg3_m12	1	3.62	0	6.72	0.06	0.04	16.84	0.32	0.35	39.53	65.14	0.3	0.21
92	fg3_m12	1	3.62	3	1.28	0.07	0.02	11.66	0.4	0.44	28.3	39.19	0.61	0.77
93	fg3_m12	1	3.62	5	0.13	0.04	0.02	14.72	0.43	0.41	40.14	53.8	0.3	0.21
94	fg3_m12	1	3.62	6	0.48	0.04	0.02	5.82	0.36	0.41	15.17	29.72	0.43	0.48
95	fg3_m12	1	4.6	0	1.23	0.04	0.02	9.25	0.41	0.37	13.85	19.55	0.0	0.48
96	fg3_m12	1	4.6	2	0.29	0.02	0.01	5.16	0.32	0.09	1.06	3.8	0.43	0.21
97	fg3_m12	1	4.6	3	2.46	0.06	0.04	11.63	0.39	0.41	23.88	35.9	0.43	0.48
98	fg3_m12	1	4.6	4	18.1	0.03	0.01	3.99	0.21	0.04	1.68	7.08	0.3	0.21
99	fg3_m12	1	4.6	5	3.99	0.06	0.04	18.14	0.38	0.33	25.21	51.26	0.43	0.21
100	fg3_m12	1	4.6	6	1.56	0.02	0.03	7.78	0.39	0.45	16.34	25.59	0.0	0.48
101	fg3_m12	1	5.18	0	2.17	0.04	0.02	11.79	0.37	0.34	26.36	43.35	0.0	0.48
102	fg3_m12	1	5.18	1	5.45	0.04	0.03	10.92	0.34	0.17	5.69	16.77	0.3	0.48
103	fg3_m12	1	5.18	3	0.73	0.08	0.02	13.86	0.39	0.43	29.76	45.18	0.3	0.64
104	fg3_m12	1	5.18	4	42.15	0.04	0.02	3.44	0.23	0.0	5.87	19.78	0.0	0.21
105	fg3_m12	1	5.18	5	1.18	0.04	0.04	20.71	0.38	0.32	52.58	80.53	0.0	0.48
106	fg3_m12	1	5.18	6	0.36	0.02	0.02	12.06	0.38	0.43	13.35	19.53	0.0	0.48
107	fg3_m12	1	5.57	0	2.27	0.05	0.05	21.98	0.35	0.29	42.93	61.02	0.43	1.07
108	fg3_m12	1	5.57	1	4.08	0.03	0.02	7.64	0.36	0.2	5.2	16.77	0.61	0.77
109	fg3_m12	1	5.57	2	2.66	0.02	0.02	7.51	0.3	0.07	1.46	5.09	0.3	0.48
110	fg3_m12	1	5.57	3	2.77	0.07	0.03	14.87	0.38	0.42	22.69	29.26	0.43	0.48
111	fg3_m12	1	5.57	6	1.58	0.03	0.02	10.91	0.38	0.44	15.59	23.73	0.3	0.48
112	fg3_m12	1	6.06	0	0.97	0.08	0.05	15.87	0.39	0.3	52.67	61.47	0.3	0.64
113	fg3_m12	1	6.06	1	1.07	0.02	0.01	4.54	0.36	0.18	1.49	4.32	0.0	0.21
114	fg3_m12	1	6.06	2	3.43	0.02	0.01	4.34	0.3	0.06	0.55	2.48	0.3	0.21
115	fg3_m12	1	6.06	3	10.55	0.07	0.06	20.26	0.37	0.42	27.37	38.34	0.43	0.21
116	fg3_m12	1	6.06	5	1.63	0.06	0.06	24.49	0.38	0.34	41.54	68.12	0.3	0.48
117	fg3_m12	1	6.06	6	1.5	0.02	0.02	8.57	0.4	0.46	13.33	21.07	0.3	0.48
118	fg3_m12	1	0.05	0	1.6	0.01	0.03	1.49	0.49	0.15	2.84	18.51	0.3	0.48
119	fg3_m12	1	0.05	1	2.8	0.04	0.04	11.28	0.77	0.85	3.29	2.3	0.3	0.21
120	fg3_m12	1	0.05	2	1.62	0.02	0.03	10.11	0.77	0.82	2.17	2.87	0.3	0.21
121	fg3_m12	1	0.05	4	2.4	0.02	0.04	2.78	0.67	0.2	3.14	12.67	0.0	0.21
122	fg3_m12	1	0.05	5	0.64	0.01	0.03	4.56	0.65	0.38	1.16	4.19	0.0	0.21
123	fg3_m12	1	0.05	6	1.1	0.05	0.04	12.04	0.79	0.84	1.71	4.11	0.43	0.21
124	fg3_m12	1	0.1	0	0.26	0.01	0.03	3.52	0.5	0.13	2.88	17.26	0.3	0.48
125	fg3_m12	1	0.1	1	2.7	0.04	0.04	10.51	0.79	0.85	3.33	2.52	0.43	0.21
126	fg3_m12	1	0.1	2	2.18	0.03	0.03	13.48	0.78	0.82	4.13	6.44	0.0	0.21
127	fg3_m12	1	0.1	3	1.66	0.02	0.03	3.06	0.68	0.28	8.49	17.44	0.0	0.21
128	fg3_m12	1	0.1	4	1.36	0.02	0.04	2.35	0.69	0.21	2.66	12.43	0.3	0.48
129	fg3_m12	1	0.1	5	0.68	0.01	0.03	4.8	0.66	0.39	0.94	3.71	0.3	0.21
130	fg3_m12	1	0.1	6	2.25	0.06	0.04	15.65	0.79	0.84	3.05	8.69	0.43	0.48
131	fg3_m12	1	0.2	0	2.05	0.02	0.03	3.22	0.5	0.14	3.93	19.7	0.3	0.48
132	fg3_m12	1	0.2	1	2.2	0.06	0.05	9.96	0.79	0.85	4.06	2.82	0.3	0.21
133	fg3_m12	1	0.2	2	0.05	0.02	0.03	11.11	0.78	0.82	3.45	5.81	0.3	0.21
134	fg3_m12	1	0.2	3	1.47	0.01	0.04	2.95	0.7	0.28	11.67	22.76	0.3	0.21
135	fg3_m12	1	0.2	4	3.16	0.02	0.04	3.36	0.71	0.2	2.9	13.1	0.3	0.48
136	fg3_m12	1	0.2	5	1.51	0.02	0.03	15.35	0.65	0.39	3.05	11.78	0.3	0.21
137	fg3_m12	1	0.2	6	2.16	0.05	0.04	11.14	0.79	0.84	2.49	8.4	0.68	0.48
138	fg3_m12	1	0.29	0	1.87	0.01	0.04	7.34	0.5	0.12	9.25	31.04	0.3	0.21
139	fg3_m12	1	0.29	1	1.04	0.06	0.05	10.71	0.79	0.85	18.16	1.46	0.3	0.21
140	fg3_m12	1	0.29	2	0.62	0.02	0.03	12.14	0.78	0.8	2.99	4.71	0.61	0.48
141	fg3_m12	1	0.29	3	2.31	0.01	0.05	2.89	0.76	0.29	10.7	12.33	0.61	0.21
142	fg3_m12	1	0.29	4	0.5	0.02	0.05	3.03	0.76	0.19	3.14	13.8	0.68	0.48
143	fg3_m12	1	0.29	5	0.81	0.02	0.03	15.83	0.66	0.4	3.36	13.2	0.0	0.21
144	fg3_m12	1	0.39	0	17.28	0.02	0.03	3.8	0.52	0.3	1.21	4.82	0.61	0.21
145	fg3_m12	1	0.39	1	13.44	0.03	0.03	12.91	0.88	0.38	4.87	8.05	1.09	0.21
146	fg3_m12	1	0.39	2	15.5	0.03	0.03	14.65	0.69	0.71	3.88	9.42	1.77	2.36
147	fg3_m12	1	0.39	3	9.55	0.02	0.05	5.83	0.87	0.4	13.77	31.81	0.68	0.21
148	fg3_m12	1	0.39	4	17.7	0.02	0.04	3.9	0.7	0.09	3.27	8.22	0.0	0.21
149	fg3_m12	1	0.39	5	3.95	0.02	0.03	23.59	0.68	0.31	12.62	26.31	0.3	0.21
150	fg3_m12	1	0.59	0	89.03	0.04	0.04	5.88	0.31	0.49	5.9	11.84	0.3	0.48
151	fg3_m12	1	0.59	1	11.76	0.07	0.07	20.92	0.66	0.7	30.5	13.83	0.61	1.16
152	fg3_m12	1	0.59	2	3.77	0.04	0.05	32.15	0.68	0.68	33.59	45.23	0.68	0.48
153	fg3_m12	1	0.59	3	22.48	0.05	0.05	12.44	0.6	0.58	9.5	26.5	0.43	0.21
154	fg3_m12	1	0.59	4	42.51	0.04	0.03	10.8	0.41	0.51	4.17	21.32	0.3	0.48
155	fg3_m12	1	0.59	5	14.3	0.05	0.04	20.54	0.58	0.59	26.07	40.01	0.3	0.48
156	fg3_m12	1	0.59	6	5.98	0.03	0.04	8.75	0.66	0.73	16.04	29.14	0.43	0.21
157	fg3_m12	1	0.78	0	25.41	0.03	0.03	4.29	0.29	0.06	16.14	28.87	0.0	0.21
158	fg3_m12	1	0.78	1	10.13	0.03	0.03	13.51	0.63	0.63	23.97	32.41	0.61	1.16
159	fg3_m12	1	0.78	2	0.9	0.02	0.03	10.94	0.61	0.49	3.28	7.64	0.3	0.21
160	fg3_m12	1	0.78	3	1.11	0.03	0.03	4.83	0.51	0.29	8.78	23.01	0.43	0.21
161	fg3_m12	1	0.78	5	1.97	0.02	0.03	7.1	0.59	0.45	0.6	1.6	0.3	0.48
162	fg3_m12	1	0.78	6	2.27	0.03	0.02	11.97	0.65	0.67	33.09	50.34	0.0	0.88
163	fg3_m12	1	0.98	0	1.4	0.03	0.02	8.64	0.4	0.14	8.02	14.09	0.3	0.64
164	fg3_m12	1	0.98	1	0.92	0.03	0.03	13.66	0.64	0.66	30.1	44.36	0.0	0.48
165	fg3_m12	1	0.98	2	0.26	0.03	0.03	15.97	0.6	0.45	8.3	20.73	0.3	0.21
166	fg3_m12	1	0.98	5	3.12	0.02	0.03	8.94	0.6	0.48	2.63	5.5	0.3	0.21
167	fg3_m12	1	0.98	6	1.62	0.03	0.02	11.0	0.63	0.66	41.82	54.55	0.43	0.77
168	fg3_m12	1	1.17	1	5.67	0.02	0.03	10.62	0.62	0.57	8.87	13.99	0.3	0.21
169	fg3_m12	1	1.17	2	1.86	0.03	0.03	15.76	0.6	0.44	2.94	7.97	0.43	0.21
170	fg3_m12	1	1.17	5	2.46	0.04	0.05	15.07	0.59	0.46	6.65	15.16	0.3	0.48
171	fg3_m12	1	1.17	6	4.86	0.02	0.03	6.28	0.63	0.69	20.17	29.26	0.0	0.48
172	fg3_m12	1	1.37	1	10.31	0.04	0.04	18.54	0.64	0.61	31.7	37.04	0.0	0.48
173	fg3_m12	1	1.37	2	2.7	0.03	0.02	14.91	0.6	0.35	4.18	12.51	0.43	0.21
174	fg3_m12	1	1.37	3	8.25	0.03	0.02	5.16	0.52	0.26	8.73	27.88	0.3	0.21
175	fg3_m12	1	1.37	4	17.04	0.02	0.02	3.09	0.23	0.06	2.87	5.25	0.3	0.21
176	fg3_m12	1	1.37	5	0.97	0.02	0.03	10.54	0.6	0.48	31.24	53.34	0.61	0.48
177	fg3_m12	1	1.37	6	2.63	0.03	0.03	11.26	0.64	0.69	28.8	54.93	0.43	0.77
178	fg3_m12	1	1.56	0	5.79	0.03	0.02	6.23	0.41	0.12	9.78	53.69	0.43	0.48
179	fg3_m12	1	1.56	1	1.9	0.02	0.02	8.18	0.6	0.53	6.53	21.56	0.3	0.21
180	fg3_m12	1	1.56	2	2.11	0.03	0.04	14.64	0.6	0.39	5.43	13.26	0.43	0.21
181	fg3_m12	1	1.56	3	1.67	0.02	0.04	4.57	0.58	0.28	3.21	10.15	0.3	0.21
182	fg3_m12	1	1.56	5	4.07	0.02	0.03	16.81	0.63	0.57	22.05	38.1	0.0	0.48
183	fg3_m12	1	1.56	6	1.69	0.03	0.03	11.87	0.63	0.68	27.52	42.87	0.3	0.77
